Latitude,Longitude,Bath,Bed,Price,Postal,Crime,MedIncome,School,Sqft_Area,Lot_Area,SchoolDist,Property_Address,Zestimate,Date_Sold,Locality,Region,Built_Year,Price_Sqft,Envi,Age,TranEnvi,TransDist,SchoolType,SchoolTSRatio,SchoolRating,MedAge,Population,College.Graduates,Rank
47.506541,-122.253898,1,2,197500,98178,385,60190,3,770,5500,0.668115603,6314 S Bangor St,228K,12/12/2012,Seattle,WA,1942,256,2,72,0,Inf,7,23,NA,38,21860,23.15,7537
47.506678,-122.253896,1,2,200000,98178,387,60190,3,790,5499,0.657643175,10451 64th Ave S,195K,2/27/2014,Seattle,WA,1942,253,3,72,0,Inf,7,23,NA,38,21860,23.15,7537
47.506766,-122.265418,2,3,257500,98178,421,60190,2,1910,8145,0.589168136,5349 S Creston St,275K,6/26/2013,Seattle,WA,1919,134,4,95,0,Inf,7,23,NA,38,21860,23.15,7537
47.506834,-122.258074,2.25,5,261500,98178,398,60190,3,2040,6510,0.464983266,10424 60th Ave S,286K,9/4/2013,Seattle,WA,1959,128,4,55,0,Inf,7,23,NA,38,21860,23.15,7537
47.506866,-122.25701,1.75,3,315000,98178,397,60190,3,1660,7215,0.495568961,10438 61st Ave S,269K,6/27/2013,Seattle,WA,1964,189,4,50,0,Inf,7,23,NA,38,21860,23.15,7537
47.506876,-122.387957,1.75,4,810000,98146,328,53346,1,2800,11761.2,0.813094539,10641 Marine View Dr SW,761K,9/16/2013,Seattle,WA,1944,289,0,70,0,Inf,8,19,5,38.3,25574,20.58,9082
47.506883,-122.263562,1,3,278000,98178,417,60190,3,1940,10062,0.496884591,10447 56th Ave S,259K,4/11/2014,Seattle,WA,1952,143,4,62,0,Inf,7,23,NA,38,21860,23.15,7537
47.506929,-122.249707,2,3,365000,98178,361,60190,1,1750,5662,0.898406641,10440 67th Ave S,364K,4/26/2013,Seattle,WA,1999,208,1,15,0,Inf,7,23,NA,38,21860,23.15,7537
47.506952,-122.253892,1,2,278000,98178,387,60190,3,1520,5662,0.63727486,10439 64th Ave S,213K,5/20/2013,Seattle,WA,1942,182,4,72,0,Inf,7,23,NA,38,21860,23.15,7537
47.50704,-122.264483,1,2,235000,98178,418,60190,3,880,5600,0.520986465,10430 55th Ave S,175K,9/5/2014,Seattle,WA,1955,267,4,59,0,Inf,7,23,NA,38,21860,23.15,7537
47.507041,-122.26259,1,2,240000,98178,415,60190,3,1000,10018,0.448398867,10440 56th Ave S,266K,2/27/2014,Seattle,WA,1912,240,4,102,0,Inf,7,23,NA,38,21860,23.15,7537
47.507044,-122.378079,2,4,300000,98146,412,53346,4,1700,8710,0.330716617,3621 SW 107th St,348K,6/5/2014,Seattle,WA,1948,176,0,66,0,Inf,8,19,5,38.3,25574,20.58,9082
47.507074,-122.387242,1.75,4,550000,98146,336,53346,1,2030,5688,0.755146293,10644 Marine View Dr SW,664K,9/19/2014,Seattle,WA,1939,270,0,75,0,Inf,8,19,5,38.3,25574,20.58,9082
47.50709,-122.25389,1,4,352000,98178,387,60190,3,2520,5662,0.627325549,10437 64th Ave S,302K,3/6/2014,Seattle,WA,1920,139,4,94,0,Inf,7,23,NA,38,21860,23.15,7537
47.507185,-122.25666,3,5,315000,98178,398,60190,3,2460,5596,0.479249988,10437 62nd Ave S,,10/12/2012,Seattle,WA,2012,128,4,2,0,Inf,7,23,NA,38,21860,23.15,7537
47.507222,-122.26507,1,3,184500,98178,429,60190,2,1130,9393,0.53398815,10425 55th Ave S,217K,12/6/2013,Seattle,WA,1954,163,4,60,0,Inf,7,23,NA,38,21860,23.15,7537
47.5073,-122.371734,2,2,303000,98146,425,53346,5,970,9750,0.39286215,10630 31st Ave SW,287K,7/15/2014,Seattle,WA,1940,312,0,74,0,Inf,2,10,NA,38.3,25574,20.58,9082
47.507344,-122.250362,2,3,220000,98178,367,60190,2,1310,5650,0.833415194,10427 67th Ave S,286K,1/14/2013,Seattle,WA,1912,167,2,102,0,Inf,7,23,NA,38,21860,23.15,7537
47.507559,-122.37621,1,3,257500,98146,427,53346,4,910,8710,0.310892022,3504 SW 107th St,274K,12/30/2013,Seattle,WA,1948,282,0,66,0,Inf,8,19,5,38.3,25574,20.58,9082
47.507569,-122.377471,1,2,330000,98146,419,53346,4,1048,8276,0.277430605,3608 SW 107th St,312K,5/30/2014,Seattle,WA,1948,314,0,66,0,Inf,8,19,5,38.3,25574,20.58,9082
47.507576,-122.378226,1.5,4,474900,98146,413,53346,4,2830,8319,0.271491869,3702 SW 107th St,510K,9/3/2014,Seattle,WA,1948,167,0,66,0,Inf,8,19,5,38.3,25574,20.58,9082
47.50764,-122.383262,1,3,472500,98146,370,53346,1,1670,8176,0.46421717,4006 SW 107th St,535K,10/1/2013,Seattle,WA,1954,282,0,60,0,Inf,8,19,5,38.3,25574,20.58,9082
47.507645,-122.265974,1.5,3,198000,98178,431,60190,2,2360,8280,0.551600486,5333 S Prentice St,270K,11/16/2012,Seattle,WA,1961,83,4,53,0,Inf,7,23,NA,38,21860,23.15,7537
47.507656,-122.385016,1,2,385000,98146,362,53346,1,1220,8760,0.57659356,4116 SW 107th St,428K,9/16/2013,Seattle,WA,1949,315,0,65,0,Inf,8,19,5,38.3,25574,20.58,9082
47.507762,-122.251534,1,3,345000,98178,385,60190,3,2060,5650,0.733878741,10411 66th Ave S,343K,12/2/2013,Seattle,WA,1968,167,4,46,0,Inf,7,23,NA,38,21860,23.15,7537
47.507783,-122.268093,2,5,200000,98178,442,60190,2,2090,6630,0.643983219,5148 S Creston St,258K,7/23/2014,Seattle,WA,1974,95,4,40,0,Inf,2,15,NA,38,21860,23.15,7537
47.507788,-122.25651,1.5,3,250000,98178,404,60190,3,1500,6446,0.432684507,10415 Renton Ave S,269K,1/3/2014,Seattle,WA,1912,166,4,102,0,Inf,7,23,NA,38,21860,23.15,7537
47.507931,-122.376966,1,3,270000,98146,428,53346,4,1040,8308,0.249314074,3525 SW 106th St,288K,9/27/2013,Seattle,WA,1948,259,0,66,0,Inf,8,19,5,38.3,25574,20.58,9082
47.507996,-122.383718,2.25,3,406000,98146,369,53346,1,2024,7405,0.472701244,4017 SW 106th St,457K,12/11/2013,Seattle,WA,1942,200,0,72,0,Inf,8,19,5,38.3,25574,20.58,9082
